Voyage ID,Ship ID,Ship Name,Encounter Hex,True Encounter Type,Logged Encounter Type,Damage Taken
1860,187,Silver Bottom,Hex J7,Pirates,Pirates,0%
1860,187,Silver Bottom,Hex J7,Sharks,Sharks,7%
1860,187,Silver Bottom,Hex K6,Iceberg,None,0%
1860,187,Silver Bottom,Hex J5,Iceberg,None,0%
1860,187,Silver Bottom,Hex J4,Iceberg,None,0%
1861,226,Gray Tortoise,Hex Q14,Pirates,Pirates,10%
1861,226,Gray Tortoise,Hex Q14,Harpies,Harpies,0%
1861,226,Gray Tortoise,Hex O11,Sharks,Sharks,0%
1861,226,Gray Tortoise,Hex L6,Iceberg,None,0%
1861,226,Gray Tortoise,Hex J4,Iceberg,None,0%
1862,193,Golden Diamond,Hex Q14,Storm,Storm,47%
1862,193,Golden Diamond,Hex Q9,Reef,Reef,94%
1863,236,Black Hind,Hex S13,Kraken,Kraken,30%
1864,1,Purple Pearl,Hex G12,Sharks,Sharks,4%
1865,231,Rusty Heart,Hex H13,Sharks,Sharks,0%
1865,231,Rusty Heart,Hex L14,Sharks,Sharks,4%
1865,231,Rusty Heart,Hex M14,Storm,Storm,4%
1865,231,Rusty Heart,Hex N14,Harpies,Harpies,0%
1866,191,Black Bottom,Hex K13,Pirates,Pirates,0%
1866,191,Black Bottom,Hex K13,Harpies,Harpies,0%
1866,191,Black Bottom,Hex M15,Sharks,Sharks,0%
1867,253,Golden Pearl,Hex O7,Sharks,Sharks,0%
1867,253,Golden Pearl,Hex M6,Iceberg,None,0%
1867,253,Golden Pearl,Hex N6,Iceberg,None,0%
1867,253,Golden Pearl,Hex N6,Atlantean Merfolk,Merfolk,97%
1867,253,Golden Pearl,Hex N6,Storm,Storm,14%
1868,237,White Falcon,Hex I4,Iceberg,None,0%
1868,237,White Falcon,Hex H5,Iceberg,None,0%
1868,237,White Falcon,Hex H6,Kraken,Kraken,30%
1868,237,White Falcon,Hex H6,Iceberg,Iceberg,17%
1868,237,White Falcon,Hex G6,Kraken,Kraken,54%
1869,48,Scurvy Heart,Hex J5,Iceberg,None,0%
1869,48,Scurvy Heart,Hex J5,Sharks,Sharks,5%
1869,48,Scurvy Heart,Hex J4,Iceberg,None,0%
1870,171,Gray Heart,Hex L5,Iceberg,None,0%
1870,171,Gray Heart,Hex M5,Iceberg,None,0%
1870,171,Gray Heart,Hex O6,Iceberg,None,0%
1870,171,Gray Heart,Hex O6,Atlantean Merfolk,Sharks,5%
1870,171,Gray Heart,Hex O6,Sharks,Sharks,0%
1871,207,Bloody Hind,Hex J4,Iceberg,None,0%
1871,207,Bloody Hind,Hex J4,Storm,Storm,55%
1871,207,Bloody Hind,Hex I5,Iceberg,None,0%
1871,207,Bloody Hind,Hex I6,Iceberg,None,0%
1871,207,Bloody Hind,Hex I9,Storm,Storm,5%
1871,207,Bloody Hind,Hex I10,Pirates,Pirates,0%
1872,234,White Hind,Hex Q14,Pirates,Pirates,100%
1875,82,Green Tortoise,Hex I14,Reef,Reef,17%
1875,82,Green Tortoise,Hex I15,Reef,Reef,4%
1875,82,Green Tortoise,Hex I14,Reef,Reef,4%
1876,211,Bloody Duck,Hex H10,Kraken,Kraken,7%
1876,211,Bloody Duck,Hex H7,Dragon,Dragon,30%
1876,211,Bloody Duck,Hex H6,Kraken,Kraken,30%
1876,211,Bloody Duck,Hex H6,Iceberg,None,0%
1876,211,Bloody Duck,Hex I4,Iceberg,None,0%
1878,185,Orange Diamond,Hex P6,Harpies,Harpies,0%
1878,185,Orange Diamond,Hex O5,Iceberg,None,0%
1878,185,Orange Diamond,Hex N4,Iceberg,None,0%
1878,185,Orange Diamond,Hex N4,Atlantean Merfolk,Merfolk,57%
1878,185,Orange Diamond,Hex N5,Iceberg,None,0%
1878,185,Orange Diamond,Hex N5,Atlantean Merfolk,Merfolk,14%
1878,185,Orange Diamond,Hex N5,Storm,Storm,7%
1879,241,Green Bottom,Hex J3,Iceberg,None,0%
1879,241,Green Bottom,Hex J3,Storm,Storm,14%
1879,241,Green Bottom,Hex K2,Iceberg,Iceberg,14%
1879,241,Green Bottom,Hex K2,Sharks,Sharks,7%
1879,241,Green Bottom,Hex J1,Iceberg,None,0%
1879,241,Green Bottom,Hex J2,Harpies,Harpies,4%
1880,164,Saucy Pearl,Hex J4,Iceberg,None,0%
1880,164,Saucy Pearl,Hex J5,Iceberg,None,0%
1880,164,Saucy Pearl,Hex K6,Iceberg,None,0%
1880,164,Saucy Pearl,Hex L6,Kraken,Kraken,60%
1880,164,Saucy Pearl,Hex M6,Kraken,Kraken,60%
1880,164,Saucy Pearl,Hex M6,Iceberg,None,0%
1881,240,Orange Swan,Hex K3,Reef,Reef,10%
1881,240,Orange Swan,Hex L4,Reef,Reef,7%
1881,240,Orange Swan,Hex L4,Iceberg,Iceberg,17%
1881,240,Orange Swan,Hex L5,Iceberg,None,0%
1881,240,Orange Swan,Hex L5,Atlantean Merfolk,Sharks,0%
1881,240,Orange Swan,Hex M5,Iceberg,None,0%
1881,240,Orange Swan,Hex M5,Atlantean Merfolk,Merfolk,14%
1881,240,Orange Swan,Hex N6,Atlantean Merfolk,Merfolk,14%
1881,240,Orange Swan,Hex O6,Pirates,Pirates,14%
1881,240,Orange Swan,Hex O6,Storm,Storm,4%
1881,240,Orange Swan,Hex P6,Iceberg,None,0%
1882,18,Gray Swan,Hex O14,Harpies,Harpies,7%
1882,18,Gray Swan,Hex O14,Sharks,Sharks,7%
1882,18,Gray Swan,Hex L13,Pirates,Pirates,40%
1882,18,Gray Swan,Hex K13,Kraken,Kraken,4%
1882,18,Gray Swan,Hex J13,Pirates,Pirates,0%
1882,18,Gray Swan,Hex J13,Kraken,Kraken,10%
1883,216,White Goose,Hex P13,Reef,Reef,4%
1883,216,White Goose,Hex P12,Storm,Storm,10%
1883,216,White Goose,Hex P9,Sharks,Sharks,4%
1884,258,Green Hind,Hex Q8,Reef,Reef,30%
1885,255,Silver Goose,Hex Q14,Pirates,Pirates,0%
1885,255,Silver Goose,Hex Q14,Sharks,Sharks,7%
1885,255,Silver Goose,Hex Q11,Pirates,Pirates,10%
1885,255,Silver Goose,Hex Q10,Pirates,Pirates,10%
1885,255,Silver Goose,Hex Q10,Sharks,Sharks,4%
1885,255,Silver Goose,Hex Q9,Storm,Storm,10%
1885,255,Silver Goose,Hex Q8,Sharks,Sharks,4%
1885,255,Silver Goose,Hex P7,Pirates,Pirates,27%
1886,161,White Diamond,Hex J14,Pirates,Pirates,0%
1886,161,White Diamond,Hex J15,Sharks,Sharks,4%
1886,161,White Diamond,Hex J14,Sharks,Sharks,7%
1887,230,White Duck,Hex F11,Pirates,Pirates,0%
1887,230,White Duck,Hex E9,Kraken,Kraken,100%
1888,183,Green Diamond,Hex I15,Sharks,Sharks,10%
1889,84,Silver Swan,Hex H13,Pirates,Pirates,17%
1889,84,Silver Swan,Hex K15,Harpies,Harpies,0%
1889,84,Silver Swan,Hex L15,Pirates,Pirates,7%
1889,84,Silver Swan,Hex M15,Dragon,Dragon,10%
1889,84,Silver Swan,Hex N15,Sharks,Sharks,10%
1889,84,Silver Swan,Hex N15,Storm,Storm,0%
1890,104,White Bottom,Hex Q7,Pirates,Pirates,20%
1890,104,White Bottom,Hex Q7,Harpies,Harpies,0%
1890,104,White Bottom,Hex Q7,Sharks,Sharks,0%
1890,104,White Bottom,Hex Q8,Reef,Reef,37%
1890,104,White Bottom,Hex P9,Reef,Reef,10%
1890,104,White Bottom,Hex P12,Sharks,Sharks,0%
1891,40,Red Swan,Hex N5,Iceberg,None,0%
1891,40,Red Swan,Hex M5,Iceberg,Iceberg,10%
1891,40,Red Swan,Hex L4,Reef,Reef,25%
1891,40,Red Swan,Hex L4,Iceberg,None,0%
1891,40,Red Swan,Hex L4,Atlantean Merfolk,Merfolk,65%
1892,42,Golden Swan,Hex P5,Iceberg,None,0%
1892,42,Golden Swan,Hex P5,Storm,Storm,0%
1892,42,Golden Swan,Hex O5,Iceberg,None,0%
1892,42,Golden Swan,Hex N5,Iceberg,None,0%
1892,42,Golden Swan,Hex N5,Storm,Storm,10%
1892,42,Golden Swan,Hex O5,Iceberg,None,0%
1892,42,Golden Swan,Hex P6,Iceberg,Iceberg,30%
1893,228,Black Diamond,Hex Q8,Reef,Reef,7%
1893,228,Black Diamond,Hex Q9,Reef,Reef,4%
1893,228,Black Diamond,Hex R9,Reef,Reef,14%
1894,254,Scurvy Swan,Hex H2,Iceberg,None,0%
1894,254,Scurvy Swan,Hex H2,Iceberg,Iceberg,7%
1894,254,Scurvy Swan,Hex I2,Iceberg,None,0%
1895,206,Mopey Tortoise,Hex J4,Storm,Storm,55%
1895,206,Mopey Tortoise,Hex I6,Iceberg,None,0%
1895,206,Mopey Tortoise,Hex I9,Sharks,Sharks,5%
1895,206,Mopey Tortoise,Hex I9,Storm,Storm,10%
1896,250,Black Goose,Hex K4,Iceberg,None,0%
1896,250,Black Goose,Hex L4,Pirates,Pirates,0%
1896,250,Black Goose,Hex L5,Atlantean Merfolk,Sharks,0%
1896,250,Black Goose,Hex M5,Iceberg,None,0%
1896,250,Black Goose,Hex M5,Atlantean Merfolk,Merfolk,4%
1896,250,Black Goose,Hex M4,Atlantean Merfolk,Merfolk,24%
1896,250,Black Goose,Hex L4,Atlantean Merfolk,Merfolk,0%
1896,250,Black Goose,Hex K3,Iceberg,None,0%
1896,250,Black Goose,Hex K3,Storm,Storm,17%
1896,250,Black Goose,Hex J3,Harpies,Harpies,0%
1896,250,Black Goose,Hex J3,Iceberg,None,0%
1897,244,Purple Duck,Hex P13,Harpies,Harpies,0%
1897,244,Purple Duck,Hex P13,Sharks,Sharks,7%
1897,244,Purple Duck,Hex Q14,Pirates,Pirates,0%
1898,205,Scurvy Diamond,Hex R12,Kraken,Kraken,10%
1898,205,Scurvy Diamond,Hex S12,Kraken,Kraken,15%
1898,205,Scurvy Diamond,Hex S12,Dragon,Dragon,5%
1898,205,Scurvy Diamond,Hex S11,Kraken,Kraken,0%
1898,205,Scurvy Diamond,Hex Q14,Dragon,Dragon,0%
1900,221,Rusty Goose,Hex O15,Storm,Storm,25%
1900,221,Rusty Goose,Hex N15,Storm,Storm,0%
1900,221,Rusty Goose,Hex L13,Kraken,Kraken,15%
1900,221,Rusty Goose,Hex J13,Kraken,Kraken,20%
1901,204,Orange Heart,Hex G10,Storm,Storm,0%
1901,204,Orange Heart,Hex F9,Kraken,Kraken,20%
1901,204,Orange Heart,Hex H5,Harpies,Harpies,7%
1901,204,Orange Heart,Hex H5,Iceberg,None,0%
1902,112,Golden Heart,Hex Q9,Reef,Reef,5%
1903,100,Purple Goose,Hex P5,Iceberg,None,0%
1903,100,Purple Goose,Hex Q3,Iceberg,None,0%
1903,100,Purple Goose,Hex R4,Iceberg,None,0%
1903,100,Purple Goose,Hex Q5,Iceberg,None,0%
1904,223,Green Duck,Hex O5,Iceberg,None,0%
1904,223,Green Duck,Hex P5,Iceberg,None,0%
1904,223,Green Duck,Hex P5,Dragon,Dragon,45%
1905,238,Saucy Diamond,Hex Q8,Reef,Reef,4%
1905,238,Saucy Diamond,Hex Q9,Harpies,Harpies,7%
1905,238,Saucy Diamond,Hex R12,Kraken,Kraken,14%
1906,208,Gray Falcon,Hex J4,Iceberg,None,0%
1906,208,Gray Falcon,Hex K4,Pirates,Pirates,40%
1906,208,Gray Falcon,Hex K4,Atlantean Merfolk,Merfolk,10%
1906,208,Gray Falcon,Hex K5,Iceberg,None,0%
1906,208,Gray Falcon,Hex K5,Atlantean Merfolk,Merfolk,24%
1906,208,Gray Falcon,Hex L6,Pirates,Pirates,14%
1906,208,Gray Falcon,Hex L6,Maelstrom,Maelstrom,3333330%
1907,215,Mopey Heart,Hex I6,Iceberg,None,0%
1907,215,Mopey Heart,Hex I7,Reef,Reef,10%
1907,215,Mopey Heart,Hex I7,Warlock,Wyrd Majick Fyre,25%
1908,256,Mopey Falcon,Hex J4,Iceberg,None,0%
1908,256,Mopey Falcon,Hex J5,Atlantean Merfolk,Sharks,0%
1908,256,Mopey Falcon,Hex J6,Iceberg,None,0%
1908,256,Mopey Falcon,Hex J4,Iceberg,None,0%
1910,242,Scurvy Falcon,Hex L14,Harpies,Harpies,0%
1910,242,Scurvy Falcon,Hex I13,Sharks,Sharks,0%
1911,260,Orange Goose,Hex R13,Kraken,Kraken,80%
1911,260,Orange Goose,Hex Q14,Storm,Storm,0%
1913,189,Rusty Bottom,Hex F10,Sharks,Sharks,5%
1913,189,Rusty Bottom,Hex F11,Storm,Storm,10%
1914,229,Gray Diamond,Hex H10,Kraken,Kraken,84%
1914,229,Gray Diamond,Hex G9,Storm,Storm,14%
1914,229,Gray Diamond,Hex H6,Kraken,Kraken,40%
1914,229,Gray Diamond,Hex H6,Iceberg,None,0%
1915,126,Silver Diamond,Hex H13,Harpies,Harpies,0%
1915,126,Silver Diamond,Hex H13,Sharks,Sharks,0%
1915,126,Silver Diamond,Hex J13,Kraken,Kraken,0%
1915,126,Silver Diamond,Hex M15,Pirates,Pirates,0%
1916,220,Black Tortoise,Hex Q8,Reef,Reef,95%
1916,220,Black Tortoise,Hex R11,Kraken,Kraken,30%
1917,16,Mopey Diamond,Hex P6,Iceberg,None,0%
1917,16,Mopey Diamond,Hex O5,Iceberg,None,0%
1917,16,Mopey Diamond,Hex N5,Iceberg,None,0%
1917,16,Mopey Diamond,Hex N4,Sharks,Sharks,10%
1917,16,Mopey Diamond,Hex M4,Iceberg,None,0%
1917,16,Mopey Diamond,Hex L4,Iceberg,None,0%
1917,16,Mopey Diamond,Hex K4,Iceberg,None,0%
1918,177,Black Swan,Hex P6,Harpies,Harpies,0%
1918,177,Black Swan,Hex O4,Iceberg,None,0%
1918,177,Black Swan,Hex O4,Storm,Storm,5%
1918,177,Black Swan,Hex O5,Iceberg,None,0%
1919,209,Bloody Bottom,Hex I4,Iceberg,None,0%
1919,209,Bloody Bottom,Hex H5,Iceberg,Iceberg,25%
1920,191,Black Bottom,Hex O14,Harpies,Harpies,0%
1920,191,Black Bottom,Hex L13,Kraken,Kraken,0%
1920,191,Black Bottom,Hex H13,Pirates,Pirates,0%
1920,191,Black Bottom,Hex H13,Storm,Storm,4%
1921,178,Green Pearl,Hex O15,Pirates,Pirates,27%
1921,178,Green Pearl,Hex L13,Kraken,Kraken,14%
1921,178,Green Pearl,Hex K13,Kraken,Kraken,34%
1921,178,Green Pearl,Hex K13,Sharks,Sharks,0%
1921,178,Green Pearl,Hex H13,Storm,Storm,10%
1922,1,Purple Pearl,Hex E13,Dragon,Dragon,20%
1922,1,Purple Pearl,Hex D13,Harpies,Harpies,0%
1922,1,Purple Pearl,Hex F13,Sharks,Sharks,4%
1923,207,Bloody Hind,Hex H13,Storm,Storm,25%
1924,263,Purple Hind,Hex J14,Dragon,Dragon,34%
1924,263,Purple Hind,Hex K15,Reef,Reef,10%
1924,263,Purple Hind,Hex L15,Storm,Storm,4%
1925,5,Green Falcon,Hex P6,Sharks,Sharks,0%
1925,5,Green Falcon,Hex O6,Iceberg,None,0%
1925,5,Green Falcon,Hex M6,Kraken,Kraken,30%
1925,5,Green Falcon,Hex L5,Iceberg,None,0%
1925,5,Green Falcon,Hex J5,Iceberg,None,0%
1926,249,Rusty Diamond,Hex Q8,Reef,Reef,7%
1926,249,Rusty Diamond,Hex Q9,Sharks,Sharks,4%
1926,249,Rusty Diamond,Hex Q14,Harpies,Harpies,0%
1927,171,Gray Heart,Hex P7,Harpies,Harpies,5%
1927,171,Gray Heart,Hex P10,Storm,Storm,5%
1927,171,Gray Heart,Hex Q14,Harpies,Harpies,10%
1928,139,Orange Pearl,Hex Q8,Reef,Reef,5%
1928,139,Orange Pearl,Hex P9,Harpies,Harpies,0%
1928,139,Orange Pearl,Hex P9,Reef,Reef,15%
1928,139,Orange Pearl,Hex P10,Reef,Reef,35%
1928,139,Orange Pearl,Hex P10,Sharks,Sharks,10%
1928,139,Orange Pearl,Hex P9,Reef,Reef,10%
1928,139,Orange Pearl,Hex P8,Pirates,Pirates,25%
1928,139,Orange Pearl,Hex P8,Reef,Reef,5%
1929,214,Golden Hind,Hex J4,Iceberg,None,0%
1929,214,Golden Hind,Hex J6,Harpies,Harpies,4%
1929,214,Golden Hind,Hex J7,Harpies,Harpies,0%
1929,214,Golden Hind,Hex L10,Reef,Reef,10%
1929,214,Golden Hind,Hex L10,Sharks,Sharks,0%
1929,214,Golden Hind,Hex L11,Sharks,Sharks,4%
1930,227,Rusty Pearl,Hex P13,Dragon,Dragon,30%
1930,227,Rusty Pearl,Hex P12,Reef,Reef,10%
1930,227,Rusty Pearl,Hex P10,Reef,Reef,5%
1930,227,Rusty Pearl,Hex P9,Pirates,Pirates,20%
1930,227,Rusty Pearl,Hex P8,Reef,Reef,15%
1931,194,Black Duck,Hex N14,Storm,Storm,20%
1931,194,Black Duck,Hex M13,Harpies,Harpies,4%
1931,194,Black Duck,Hex K6,Sharks,Sharks,4%
1931,194,Black Duck,Hex J5,Storm,Storm,20%
1932,44,Purple Swan,Hex Q10,Storm,Storm,0%
1933,236,Black Hind,Hex M13,Storm,Storm,0%
1934,195,White Heart,Hex G14,Harpies,Harpies,0%
1935,247,Scurvy Bottom,Hex G12,Harpies,Harpies,0%
1935,247,Scurvy Bottom,Hex F10,Pirates,Pirates,0%
1935,247,Scurvy Bottom,Hex F9,Pirates,Pirates,0%
1935,247,Scurvy Bottom,Hex G8,Kraken,Kraken,10%
1935,247,Scurvy Bottom,Hex G8,Sharks,Sharks,0%
1935,247,Scurvy Bottom,Hex H5,Atlantean Merfolk,Merfolk,0%
1935,247,Scurvy Bottom,Hex H5,Sharks,Sharks,0%
1935,247,Scurvy Bottom,Hex I4,Iceberg,None,0%
1935,247,Scurvy Bottom,Hex I4,Atlantean Merfolk,Merfolk,0%
1935,247,Scurvy Bottom,Hex I4,Dragon,Dragon,34%
1936,213,Rusty Swan,Hex E13,Storm,Storm,5%
1937,259,Purple Bottom,Hex P11,Harpies,Harpies,0%
1938,70,Red Hind,Hex Q8,Storm,Storm,10%
1939,239,Bloody Swan,Hex K5,Iceberg,Iceberg,20%
1939,239,Bloody Swan,Hex L5,Storm,Storm,20%
1939,239,Bloody Swan,Hex M6,Iceberg,Iceberg,4%
1940,84,Silver Swan,Hex K15,Reef,Reef,7%
1940,84,Silver Swan,Hex K15,Sharks,Sharks,4%
1940,84,Silver Swan,Hex L15,Pirates,Pirates,0%
1940,84,Silver Swan,Hex L15,Reef,Reef,4%
1940,84,Silver Swan,Hex M15,Pirates,Pirates,0%
1940,84,Silver Swan,Hex N15,Pirates,Pirates,14%
1940,84,Silver Swan,Hex N15,Harpies,Harpies,0%
1940,84,Silver Swan,Hex N15,Storm,Storm,7%
1941,231,Rusty Heart,Hex O14,Harpies,Harpies,0%
1941,231,Rusty Heart,Hex O14,Reef,Reef,17%
1941,231,Rusty Heart,Hex O14,Storm,Storm,0%
1941,231,Rusty Heart,Hex K13,Storm,Storm,4%
1941,231,Rusty Heart,Hex J13,Kraken,Kraken,10%
1941,231,Rusty Heart,Hex H13,Pirates,Pirates,14%
1943,261,Silver Hind,Hex O14,Reef,Reef,34%
1945,248,Red Diamond,Hex J12,Harpies,Harpies,0%
1945,248,Red Diamond,Hex J12,Dragon,Dragon,100%
1946,262,Mopey Swan,Hex F13,Storm,Storm,7%
1946,262,Mopey Swan,Hex F14,Pirates,Pirates,0%
1947,232,Mopey Goose,Hex P5,Storm,Storm,0%
1947,232,Mopey Goose,Hex O3,Iceberg,None,0%
1947,232,Mopey Goose,Hex O3,Sharks,Sharks,0%
1947,232,Mopey Goose,Hex O3,Iceberg,None,0%
1947,232,Mopey Goose,Hex P4,Iceberg,None,0%
1947,232,Mopey Goose,Hex P5,Harpies,Harpies,0%
1948,258,Green Hind,Hex P5,Iceberg,Iceberg,5%
1948,258,Green Hind,Hex P4,Storm,Storm,25%
1948,258,Green Hind,Hex P4,Iceberg,None,0%
1948,258,Green Hind,Hex P5,Iceberg,None,0%
1949,216,White Goose,Hex Q8,Pirates,Pirates,0%
1949,216,White Goose,Hex P9,Harpies,Harpies,7%
1949,216,White Goose,Hex P9,Reef,Reef,4%
1949,216,White Goose,Hex Q11,Pirates,Pirates,0%
1949,216,White Goose,Hex Q9,Reef,Reef,7%
1949,216,White Goose,Hex Q8,Reef,Reef,17%
1949,216,White Goose,Hex Q8,Sharks,Sharks,0%
1949,216,White Goose,Hex Q8,Dragon,Dragon,17%
1949,216,White Goose,Hex P7,Sharks,Sharks,0%
1950,228,Black Diamond,Hex P6,Iceberg,None,0%
1950,228,Black Diamond,Hex O6,Iceberg,None,0%
1950,228,Black Diamond,Hex M6,Iceberg,None,0%
1950,228,Black Diamond,Hex O6,Iceberg,None,0%
1950,228,Black Diamond,Hex P6,Iceberg,None,0%
1951,211,Bloody Duck,Hex J6,Iceberg,None,0%
1951,211,Bloody Duck,Hex J6,Sharks,Sharks,0%
1951,211,Bloody Duck,Hex J7,Reef,Reef,14%
1951,211,Bloody Duck,Hex J7,Storm,Storm,0%
1951,211,Bloody Duck,Hex K8,Reef,Reef,4%
1951,211,Bloody Duck,Hex L10,Reef,Reef,10%
1952,23,Silver Duck,Hex J4,Iceberg,None,0%
1952,23,Silver Duck,Hex L5,Iceberg,None,0%
1952,23,Silver Duck,Hex L5,Storm,Storm,0%
1952,23,Silver Duck,Hex M6,Iceberg,None,0%
1952,23,Silver Duck,Hex O10,Sharks,Sharks,0%
1952,23,Silver Duck,Hex P12,Harpies,Harpies,0%
1953,244,Purple Duck,Hex N15,Storm,Storm,17%
1953,244,Purple Duck,Hex K13,Pirates,Pirates,20%
1953,244,Purple Duck,Hex K13,Kraken,Kraken,10%
1953,244,Purple Duck,Hex I13,Sharks,Sharks,7%
1954,104,White Bottom,Hex N12,Storm,Storm,20%
1954,104,White Bottom,Hex O14,Pirates,Pirates,0%
1955,196,Golden Duck,Hex P13,Reef,Reef,4%
1955,196,Golden Duck,Hex J5,Iceberg,None,0%
1956,215,Mopey Heart,Hex H11,Harpies,Harpies,0%
1957,223,Green Duck,Hex O6,Sharks,Sharks,15%
1957,223,Green Duck,Hex N6,Dragon,Dragon,30%
1957,223,Green Duck,Hex M6,Maelstrom,Storm,0%
1957,223,Green Duck,Hex L5,Harpies,Harpies,20%
1957,223,Green Duck,Hex K4,Harpies,Harpies,0%
1957,223,Green Duck,Hex K4,Iceberg,None,0%
1957,223,Green Duck,Hex J4,Iceberg,None,0%
1958,257,Silver Heart,Hex I4,Iceberg,None,0%
1958,257,Silver Heart,Hex H5,Harpies,Harpies,4%
1958,257,Silver Heart,Hex H5,Iceberg,None,0%
1958,257,Silver Heart,Hex G7,Kraken,Kraken,14%
1958,257,Silver Heart,Hex G8,Kraken,Kraken,30%
1958,257,Silver Heart,Hex G7,Storm,Storm,4%
1958,257,Silver Heart,Hex H6,Pirates,Pirates,0%
1958,257,Silver Heart,Hex H5,Iceberg,None,0%
1958,257,Silver Heart,Hex I4,Iceberg,None,0%
1959,260,Orange Goose,Hex Q9,Iceberg,None,0%
1959,260,Orange Goose,Hex Q8,Iceberg,None,0%
1959,260,Orange Goose,Hex P7,Iceberg,None,0%
1960,238,Saucy Diamond,Hex O14,Pirates,Pirates,17%
1960,238,Saucy Diamond,Hex M13,Harpies,Harpies,0%
1960,238,Saucy Diamond,Hex L13,Pirates,Pirates,17%
1960,238,Saucy Diamond,Hex K13,Kraken,Kraken,20%
1960,238,Saucy Diamond,Hex J13,Pirates,Pirates,37%
1960,238,Saucy Diamond,Hex J13,Kraken,Kraken,20%
1961,126,Silver Diamond,Hex Q11,Pirates,Pirates,0%
1961,126,Silver Diamond,Hex Q11,Kraken,Kraken,27%
1961,126,Silver Diamond,Hex Q8,Reef,Reef,14%
1962,205,Scurvy Diamond,Hex K14,Harpies,Harpies,5%
1962,205,Scurvy Diamond,Hex K14,Sharks,Sharks,5%
1962,205,Scurvy Diamond,Hex J13,Kraken,Kraken,10%
1962,205,Scurvy Diamond,Hex H13,Harpies,Harpies,10%
1963,18,Gray Swan,Hex F15,Harpies,Harpies,0%
1963,18,Gray Swan,Hex E15,Alexandrian Merfolk,Merfolk,0%
1963,18,Gray Swan,Hex E15,Storm,Storm,0%
1963,18,Gray Swan,Hex D15,Pirates,Pirates,27%
1963,18,Gray Swan,Hex E16,Storm,Storm,14%
1963,18,Gray Swan,Hex F15,Alexandrian Merfolk,Merfolk,0%
1963,18,Gray Swan,Hex F15,Sharks,Sharks,4%
1964,41,Scurvy Tortoise,Hex N5,Kraken,Kraken,0%
1964,41,Scurvy Tortoise,Hex N5,Iceberg,None,0%
1964,41,Scurvy Tortoise,Hex N5,Sharks,Sharks,7%
1964,41,Scurvy Tortoise,Hex N4,Harpies,Harpies,0%
1964,41,Scurvy Tortoise,Hex N4,Iceberg,None,0%
1964,41,Scurvy Tortoise,Hex N4,Sharks,Sharks,7%
1964,41,Scurvy Tortoise,Hex M4,Iceberg,Iceberg,4%
1964,41,Scurvy Tortoise,Hex J4,Iceberg,None,0%
1964,41,Scurvy Tortoise,Hex J4,Storm,Storm,4%
1965,100,Purple Goose,Hex P6,Pirates,Pirates,0%
1965,100,Purple Goose,Hex O4,Kraken,Kraken,20%
1965,100,Purple Goose,Hex O4,Iceberg,None,0%
1965,100,Purple Goose,Hex L4,Harpies,Harpies,5%
1965,100,Purple Goose,Hex K3,Iceberg,None,0%
1965,100,Purple Goose,Hex J3,Iceberg,None,0%
1966,123,White Tortoise,Hex I6,Iceberg,None,0%
1966,123,White Tortoise,Hex I7,Reef,Reef,10%
1966,123,White Tortoise,Hex I7,Iceberg,None,0%
1966,123,White Tortoise,Hex I8,Iceberg,None,0%
1966,123,White Tortoise,Hex I9,Iceberg,None,0%
1966,123,White Tortoise,Hex I10,Iceberg,None,0%
1967,249,Rusty Diamond,Hex L15,Pirates,Pirates,0%
1967,249,Rusty Diamond,Hex K15,Reef,Reef,7%
1968,1,Purple Pearl,Hex H13,Harpies,Harpies,0%
1968,1,Purple Pearl,Hex I14,Sharks,Sharks,4%
1968,1,Purple Pearl,Hex K15,Pirates,Pirates,17%
1968,1,Purple Pearl,Hex K15,Reef,Reef,4%
1969,221,Rusty Goose,Hex H10,Storm,Storm,5%
1969,221,Rusty Goose,Hex H9,Sharks,Sharks,0%
1969,221,Rusty Goose,Hex H7,Iceberg,None,0%
1969,221,Rusty Goose,Hex I6,Iceberg,Iceberg,5%
1969,221,Rusty Goose,Hex H5,Iceberg,Iceberg,30%
1970,206,Mopey Tortoise,Hex H9,Iceberg,None,0%
1970,206,Mopey Tortoise,Hex H8,Iceberg,None,0%
1970,206,Mopey Tortoise,Hex G7,Iceberg,None,0%
1970,206,Mopey Tortoise,Hex H5,Iceberg,None,0%
1970,206,Mopey Tortoise,Hex I4,Iceberg,None,0%
1971,191,Black Bottom,Hex I13,Harpies,Harpies,0%
1971,191,Black Bottom,Hex J12,Pirates,Pirates,10%
1971,191,Black Bottom,Hex J11,Kraken,Kraken,27%
1971,191,Black Bottom,Hex J11,Sharks,Sharks,7%
1971,191,Black Bottom,Hex L10,Reef,Reef,10%
1971,191,Black Bottom,Hex M9,Iceberg,None,0%
1971,191,Black Bottom,Hex N8,Dread Pirate Calamity,Pirates,10%
1971,191,Black Bottom,Hex P6,Iceberg,None,0%
1972,177,Black Swan,Hex Q8,Pirates,Pirates,0%
1972,177,Black Swan,Hex Q8,Harpies,Harpies,0%
1972,177,Black Swan,Hex Q9,Iceberg,None,0%
1972,177,Black Swan,Hex Q10,Iceberg,None,0%
1972,177,Black Swan,Hex Q13,Pirates,Pirates,0%
1972,177,Black Swan,Hex Q14,Storm,Storm,15%
1973,224,Scurvy Hind,Hex P6,Harpies,Harpies,0%
1973,224,Scurvy Hind,Hex P6,Iceberg,Iceberg,15%
