Voyage ID,Origin Port,Date,Planned Route,Ship ID,Ship Name,Ship Type,Captain Name,Weeks Since Last Voyage,Voyage Destination,Voyage Purpose,Damage Taken
1025,Hex I3,January 1409 Week 4,I3-I4-I5-J6-J5-J4-I3,146,Red Bottom,Dhow,Jack Teague,6,Hex J6,Fishing,15%
1026,Hex P15,January 1409 Week 1,P15-O15-N15-N14-M13-L13-K13-J13-I13-H13-G13,78,Orange Swan,Galleon,Count Friedrich von Zelig,6,Hex G13,Cargo: Blackwine,10%
1027,Hex P15,January 1409 Week 1,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,143,White Swan,Barquentine,Ryan O'Neal,11,Hex G13,Cargo: Blackwine,15%
1028,Hex P15,January 1409 Week 1,P15-Q14-P13-Q12-P11-P10-P9-Q8-P7-Q6,83,Orange Falcon,Galleon,Ryan MacArthur,9,Hex Q6,Cargo: Darkwood,84%
1029,Hex P15,January 1409 Week 1,P15-O15-O14-N14-M13-L13-K13-J13-I13-H13-G13,153,White Pearl,Barquentine,Sean Callahan,9,Hex G13,Cargo: Blackwine,25%
1030,Hex G13,January 1409 Week 1,G13-H13-I12-J12-K12-J13-I13-H13-G13,137,Bloody Diamond,Dhow,Lord Dietrich von Zelig,10,Hex K12,Scouting,45%
1031,Hex G13,January 1409 Week 1,G13-H12-H11-H10-H9-I8-H7-H6-H5-I4-I3,162,Golden Falcon,Galleon,Lord Wolfgang von Zelig,10001,Hex I3,Cargo: Redstone,57%
1032,Hex G13,January 1409 Week 1,G13-F13-E13-E14-E13-F13-G13,79,Rusty Pearl,Dhow,Count Alberich von Schneider,18,Hex E14,Fishing,5%
1033,Hex G13,January 1409 Week 1,G13-H13-I14-J14-K14-K15-L15-M15-N15-O15-P15,144,Black Goose,Galleon,Ryan Teague,4,Hex P15,Cargo: Magefruit,27%
1034,Hex Q6,January 1409 Week 1,Q6-P5-P4-O4-N4-M4-L4-K3-J3-I3,57,Bloody Heart,Dhow,Fergus O'Neal,22,Hex I3,Cargo: Scrolls,Destroyed
1035,Hex I3,January 1409 Week 1,I3-J4-J5-K6-L6-M6-N6-O6-P6-Q6,155,White Goose,Barquentine,Sir Adalbrecht von Konig,5,Hex Q6,Cargo: Mythril,55%
1036,Hex P15,February 1409 Week 2,P15-Q14-R14-R13-S12-R12-Q13-Q14-P15,20,Golden Hind,Dhow,Conor Hogan,8,Hex S12,Scouting,60%
1037,Hex G13,February 1409 Week 2,G13-H13-I14-I15-J16-I15-I14-H13-G13,136,Black Swan,Galleon,Baron Manfred von Grolman,5,Hex J16,Scouting,47%
1038,Hex Q6,February 1409 Week 2,Q6-P6-O5-O4-P4-P5-Q6,154,Green Goose,Dhow,Jack Malone,8,Hex O4,Fishing,0%
1039,Hex Q6,February 1409 Week 2,Q6-Q5-Q4-P3-Q4-Q5-Q6,16,Gray Falcon,Dhow,Liam Teague,5,Hex P3,Fishing,0%
1040,Hex Q6,February 1409 Week 2,Q6-P5-P4-O3-O2-N1-O2-O3-P4-P5-Q6,160,Silver Heart,Carrack,Liam Keating,4,Hex N1,Scouting,40%
1041,Hex Q6,February 1409 Week 2,Q6-P6-O5-O4-N4-M4-L4-K3-J3-I3,76,Gray Diamond,Carrack,Neil Malone,5,Hex I3,Cargo: Scrolls,0%
1042,Hex Q6,February 1409 Week 2,Q6-P5-P4-O4-N4-M4-L4-K3-J3-I3,147,White Tortoise,Galleon,Rick Reagan,10,Hex I3,Transfer,34%
1043,Hex I3,February 1409 Week 2,I3-I2-H1-G1-F1-F0-G0-H0-H1-I2-I3,45,Green Hind,Galleon,Fergus Darry,5,Hex F0,Scouting,4%
1044,Hex I3,February 1409 Week 2,I3-I4-H4-G4-F4-G4-H4-I4-I3,99,White Heart,Dhow,Lord Wilhelm von Kaulbach,7,Hex F4,Scouting,Destroyed
1045,Hex P15,February 1409 Week 3,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,125,Red Hind,Carrack,Conall O'Malley,4,Hex G13,Cargo: Darkwood,47%
1046,Hex G13,February 1409 Week 3,G13-H13-I13-J14-I13-H13-G13,50,Mopey Heart,Dhow,Killian O'Brien,10,Hex J14,Fishing,10%
1047,Hex G13,February 1409 Week 3,G13-H12-I12-I11-I12-H12-G13,87,Green Swan,Dhow,Conor Darry,36,Hex I11,Fishing,0%
1048,Hex G13,February 1409 Week 3,G13-H13-I12-J12-J11-K11-L10-L9-M8-M7-N6-O6-P6-Q6,80,Silver Falcon,Barquentine,Seamus O'Malley,5,Hex Q6,Cargo: Redstone,35%
1049,Hex Q6,February 1409 Week 3,Q6-P7-Q8-Q9-Q10-Q11-R12-Q13-Q14-P15,150,Scurvy Hind,Dhow,Kelly Keating,6,Hex P15,Cargo: Magefruit,45%
1050,Hex Q6,February 1409 Week 3,Q6-P7-P8-P9-P10-O11-P12-P13-Q14-P15,65,Black Pearl,Dhow,Sean O'Neal,5,Hex P15,Cargo: Magefruit,0%
1051,Hex Q6,February 1409 Week 3,Q6-P5-O5-O4-N4-M4-L4-K4-J3-I3,129,Gray Swan,Barquentine,Count Ulbrecht von Schneider,12,Hex I3,Cargo: Magefruit,Destroyed
1052,Hex I3,February 1409 Week 3,I3-J3-K2-K1-L1-K1-K2-J2-I3,93,Gray Tortoise,Carrack,Neil Reagan,4,Hex L1,Fishing,20%
1053,Hex I3,February 1409 Week 3,I3-J4-J5-K6-L6-M6-N6-O6-P6-Q6,167,Golden Diamond,Galleon,Bryan O'Neal,9999,Hex Q6,Cargo: Darkwood,10%
1054,Hex I3,February 1409 Week 3,I3-I4-H5-H6-H7-H6-H5-I4-I3,96,Red Falcon,Barquentine,Liam Malone,7,Hex H7,Fishing,Destroyed
1055,Hex I3,February 1409 Week 3,I3-J4-J5-K5-L6-K5-K4-J4-I3,116,Green Diamond,Galleon,Baron Wolfgang von Bismarck,4,Hex L6,Fishing,34%
1056,Hex P15,February 1409 Week 4,P15-Q14-R14-R13-Q13-Q14-P15,152,White Falcon,Dhow,Liam MacDougal,11,Hex R13,Fishing,10%
1057,Hex P15,February 1409 Week 4,P15-Q14-P13-P12-P11-Q10-P9-P8-P7-Q6,164,Purple Heart,Barquentine,Fergus Reagan,10003,Hex Q6,Cargo: Blackwine,40%
1058,Hex G13,February 1409 Week 4,G13-G12-F11-E11-D11-C11-D12-D13-E13-F13-G13,52,Mopey Pearl,Carrack,Angus O'Neal,4,Hex C11,Scouting,0%
1059,Hex G13,February 1409 Week 4,G13-H12-G11-H10-G9-G8-G7-H6-H5-I4-I3,6,Black Diamond,Galleon,Baron Friedrich von Zelig,4,Hex I3,Cargo: Magefruit,70%
1060,Hex G13,February 1409 Week 4,G13-H13-I14-I15-J16-I15-I14-H13-G13,115,Rusty Goose,Dhow,Lord Friedrich von Alfeldt,43,Hex J16,Fishing,25%
1061,Hex G13,February 1409 Week 4,G13-G12-F11-E11-F12-G12-G13,47,Rusty Bottom,Dhow,Dyllon Reagan,16,Hex E11,Fishing,45%
1062,Hex Q6,February 1409 Week 4,Q6-Q7-Q8-Q9-R10-R11-R12-Q13-Q14-P15,149,Saucy Goose,Dhow,Baron Gerhart von Bismarck,4,Hex P15,Cargo: Scrolls,35%
1063,Hex Q6,February 1409 Week 4,Q6-P7-O7-N7-M7-N6-O6-P6-Q6,139,Green Falcon,Carrack,Liam O'Malley,9,Hex M7,Scouting,24%
1064,Hex I3,February 1409 Week 4,I3-J2-J1-K0-J1-J2-I3,158,Saucy Swan,Dhow,Erin Flyn,10005,Hex K0,Fishing,0%
1065,Hex I3,February 1409 Week 4,I3-J4-I5-I6-I7-I8-H9-H10-G11-H12-G13,127,Red Swan,Galleon,Conall Keating,5,Hex G13,Cargo: Darkwood,10%
1066,Hex P15,February 1409 Week 1,P15-Q14-P13-P12-O11-P10-P9-P8-P7-Q6,157,Orange Heart,Barquentine,Patrick Buchanan,10007,Hex Q6,Cargo: Darkwood,10%
1067,Hex P15,February 1409 Week 1,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,144,Black Goose,Galleon,Ryan Teague,4,Hex G13,Cargo: Blackwine,60%
1068,Hex P15,February 1409 Week 1,P15-Q14-Q13-R12-R11-R12-Q13-Q14-P15,107,Saucy Bottom,Galleon,Fergus Sweeney,6,Hex R11,Scouting,60%
1069,Hex P15,February 1409 Week 1,P15-Q14-P13-Q12-P11-P12-P13-Q14-P15,58,Green Duck,Galleon,Bryan Buchanan,5,Hex P11,Fishing,7%
1070,Hex G13,February 1409 Week 1,G13-G12-F11-G10-G9-G8-G7-H6-H5-I4-I3,135,Mopey Hind,Galleon,Erin Flyn,5,Hex I3,Cargo: Magefruit,94%
1071,Hex G13,February 1409 Week 1,G13-F13-F12-E12-D12-C11-D11-E12-E13-F13-G13,78,Orange Swan,Galleon,Count Friedrich von Zelig,4,Hex C11,Fishing,4%
1072,Hex G13,February 1409 Week 1,G13-G12-F11-G10-G9-H8-H7-I6-H5-I4-I3,63,Saucy Pearl,Barquentine,Sean Buchanan,5,Hex I3,Cargo: Magefruit,45%
1073,Hex G13,February 1409 Week 1,G13-H13-I13-J12-K12-K11-L10-L9-M8-M7-N7-O6-P6-Q6,153,White Pearl,Barquentine,Sean Callahan,4,Hex Q6,Cargo: Redstone,95%
1074,Hex Q6,February 1409 Week 1,Q6-P7-Q8-P9-P8-P7-Q6,166,Scurvy Goose,Dhow,Dyllon Flyn,10002,Hex P9,Fishing,0%
1075,Hex Q6,February 1409 Week 1,Q6-P5-P4-O4-N4-M4-L4-K4-J3-I3,169,Bloody Heart,Galleon,Brandon MacDougal,10000,Hex I3,Cargo: Magefruit,24%
1076,Hex Q6,February 1409 Week 1,Q6-Q7-Q8-Q9-R10-Q11-R12-Q13-Q14-P15,41,Rusty Diamond,Galleon,Angus Keating,16,Hex P15,Cargo: Magefruit,54%
1077,Hex Q6,February 1409 Week 1,Q6-Q7-Q8-Q9-Q8-P7-Q6,112,Black Duck,Dhow,Lord Manfred von Lundorf,5,Hex Q9,Fishing,40%
1078,Hex I3,February 1409 Week 1,I3-J3-K4-L4-L5-M6-M7-N8-N9-O10-O11-P12-P13-Q14-P15,128,Orange Tortoise,Barquentine,Dyllon Keating,5,Hex P15,Cargo: Mythril,20%
1079,Hex I3,February 1409 Week 1,I3-J4-J5-J6-I7-I8-H9-I10-H11-H12-G13,90,Scurvy Falcon,Barquentine,Sean Cullen,5,Hex G13,Cargo: Mythril,35%
1080,Hex I3,February 1409 Week 1,I3-J3-K2-K1-L0-K0-J1-J2-I3,146,Red Bottom,Dhow,Jack Teague,5,Hex L0,Fishing,0%
1081,Hex I3,February 1409 Week 1,I3-I4-I5-J6-I7-I8-I9-I10-H11-H12-G13,162,Golden Falcon,Galleon,Lord Wolfgang von Zelig,4,Hex G13,Cargo: Darkwood,87%
1082,Hex P15,March 1409 Week 2,P15-Q14-P13-P12-P13-Q14-P15,20,Golden Hind,Dhow,Conor Hogan,4,Hex P12,Fishing,20%
1083,Hex G13,March 1409 Week 2,G13-H12-H11-I11-J11-I11-I12-H12-G13,79,Rusty Pearl,Dhow,Count Alberich von Schneider,5,Hex J11,Scouting,10%
1084,Hex G13,March 1409 Week 2,G13-H13-I14-I15-J15-K15-L15-M15-N15-O15-P15,136,Black Swan,Galleon,Baron Manfred von Grolman,4,Hex P15,Cargo: Magefruit,47%
1085,Hex Q6,March 1409 Week 2,Q6-P6-O6-N6-M6-N6-O6-P6-Q6,46,Silver Bottom,Barquentine,Neil Keating,19,Hex M6,Fishing,35%
1086,Hex Q6,March 1409 Week 2,Q6-P6-O6-N6-M6-N6-O6-P6-Q6,88,Rusty Tortoise,Carrack,Neil O'Brien,7,Hex M6,Fishing,4%
1087,Hex Q6,March 1409 Week 2,Q6-Q7-Q8-P9-P10-P11-P12-P13-Q14-P15,163,Scurvy Swan,Barquentine,Count Gerhart von Konig,6,Hex P15,Cargo: Scrolls,80%
1088,Hex Q6,March 1409 Week 2,Q6-P7-O7-N7-O6-P6-Q6,118,Bloody Tortoise,Dhow,Fergus Aubrey,33,Hex N7,Fishing,30%
1089,Hex I3,March 1409 Week 2,I3-I4-H5-I6-H7-H8-G9-H10-H11-H12-G13,168,Saucy Hind,Carrack,Rick O'Malley,10001,Hex G13,Cargo: Mythril,20%
1090,Hex I3,March 1409 Week 2,I3-J4-K4-K5-L6-K6-J5-J4-I3,147,White Tortoise,Galleon,Rick Reagan,4,Hex L6,Scouting,7%
1091,Hex I3,March 1409 Week 2,I3-J3-K3-L4-L5-M5-N5-O6-P6-Q6,60,Saucy Diamond,Barquentine,Conor Cullen,7,Hex Q6,Cargo: Mythril,20%
1092,Hex P15,March 1409 Week 3,P15-O15-N15-N14-M14-L14-M14-M15-N15-O15-P15,48,Purple Falcon,Galleon,Jack Flyn,13,Hex L14,Fishing,57%
1093,Hex G13,March 1409 Week 3,G13-H12-H11-I10-H9-H8-G7-H6-H5-I4-I3,125,Red Hind,Carrack,Conall O'Malley,4,Hex I3,Cargo: Magefruit,14%
1094,Hex G13,March 1409 Week 3,G13-H12-G11-G10-F9-G8-G7-H6-H5-I4-I3,143,White Swan,Barquentine,Ryan O'Neal,6,Hex I3,Cargo: Magefruit,65%
1095,Hex G13,March 1409 Week 3,G13-H12-G11-H10-G9-G8-G9-H10-G11-G12-G13,78,Orange Swan,Galleon,Count Friedrich von Zelig,2,Hex G8,Fishing,10%
1096,Hex Q6,March 1409 Week 3,Q6-P7-O7-N7-M7-M8-L9-L10-K11-J11-J12-I13-H13-G13,141,Orange Duck,Galleon,Jack Bracken,14,Hex G13,Cargo: Scrolls,70%
1097,Hex Q6,March 1409 Week 3,Q6-P5-P4-O4-N4-M4-L4-K3-J3-I3,91,Mopey Falcon,Carrack,Sir Konrad von Schonbern,9,Hex I3,Transfer,44%
1098,Hex I3,March 1409 Week 3,I3-J3-K3-L4-L5-M6-N6-O6-P6-Q6,161,Golden Bottom,Galleon,Baron Emerich von Alfeldt,8,Hex Q6,Cargo: Darkwood,50%
1099,Hex I3,March 1409 Week 3,I3-J4-J5-K6-K7-L8-K7-K6-J5-J4-I3,45,Green Hind,Galleon,Fergus Darry,5,Hex L8,Fishing,54%
1100,Hex P15,March 1409 Week 4,P15-O15-N15-N14-M13-M12-N12-N13-O14-O15-P15,130,Saucy Heart,Carrack,Rick Blake,17,Hex M12,Scouting,30%
1101,Hex P15,March 1409 Week 4,P15-Q14-Q13-R12-Q11-Q10-P9-Q8-P7-Q6,92,Bloody Swan,Galleon,Lord Otto von Zelig,9,Hex Q6,Cargo: Darkwood,10%
1102,Hex G13,March 1409 Week 4,G13-G14-F15-E15-E16-E15-F14-F13-G13,52,Mopey Pearl,Carrack,Angus O'Neal,4,Hex E16,Scouting,64%
1103,Hex G13,March 1409 Week 4,G13-G12-F11-G10-G9-G8-G7-H6-H5-I4-I3,127,Red Swan,Galleon,Conall Keating,4,Hex I3,Cargo: Redstone,37%
1104,Hex G13,March 1409 Week 4,G13-H12-I12-I11-J11-K11-L10-L9-M9-N8-N7-O7-P6-Q6,137,Bloody Diamond,Dhow,Lord Dietrich von Zelig,7,Hex Q6,Cargo: Redstone,30%
1105,Hex G13,March 1409 Week 4,G13-H12-G11-G10-G9-H8-H7-I6-H5-I4-I3,47,Rusty Bottom,Dhow,Dyllon Reagan,4,Hex I3,Cargo: Redstone,5%
1106,Hex Q6,March 1409 Week 4,Q6-P7-Q8-Q9-R9-S9-R9-Q9-Q8-Q7-Q6,155,White Goose,Barquentine,Sir Adalbrecht von Konig,7,Hex S9,Scouting,35%
1107,Hex Q6,March 1409 Week 4,Q6-P5-O5-O4-N4-M4-L4-K3-J3-I3,145,Rusty Heart,Barquentine,Brandon Buchanan,10,Hex I3,Cargo: Magefruit,65%
1108,Hex Q6,March 1409 Week 4,Q6-Q5-R5-S5-R5-Q5-Q6,16,Gray Falcon,Dhow,Liam Teague,6,Hex S5,Fishing,65%
1109,Hex Q6,March 1409 Week 4,Q6-P7-Q8-Q9-Q10-P11-Q12-Q13-Q14-P15,142,Gray Pearl,Barquentine,Baron Emerich von Schneider,16,Hex P15,Cargo: Magefruit,60%
1110,Hex I3,March 1409 Week 4,I3-J3-K3-L4-L5-M6-N6-O6-P6-Q6,159,Mopey Swan,Dhow,Brandon Aubrey,9,Hex Q6,Cargo: Darkwood,80%
1111,Hex I3,March 1409 Week 4,I3-I4-H5-I6-I7-I8-I7-I6-I5-J4-I3,116,Green Diamond,Galleon,Baron Wolfgang von Bismarck,5,Hex I8,Fishing,Destroyed
1112,Hex I3,March 1409 Week 4,I3-J4-I5-J6-I7-I8-I9-I10-H11-H12-G13,6,Black Diamond,Galleon,Baron Friedrich von Zelig,4,Hex G13,Cargo: Mythril,47%
1113,Hex I3,March 1409 Week 4,I3-J4-J5-J6-I7-I8-I9-I10-H11-H12-G13,93,Gray Tortoise,Carrack,Neil Reagan,5,Hex G13,Cargo: Mythril,14%
1114,Hex P15,March 1409 Week 1,P15-Q14-P13-P12-O11-N11-N10-M9-M8-L7-K7-K6-J5-J4-I3,113,Scurvy Heart,Carrack,Sean Keating,17,Hex I3,Cargo: Blackwine,27%
1115,Hex G13,March 1409 Week 1,G13-H13-I14-I15-J15-K15-L15-M15-N15-O15-P15,144,Black Goose,Galleon,Ryan Teague,4,Hex P15,Cargo: Magefruit,Destroyed
1116,Hex G13,March 1409 Week 1,G13-G12-F11-G10-G9-G10-F11-G12-G13,156,Green Bottom,Dhow,Kelly Blake,12,Hex G9,Fishing,0%
1117,Hex G13,March 1409 Week 1,G13-H13-I14-I15-J15-K15-L15-M15-N15-O15-P15,90,Scurvy Falcon,Barquentine,Sean Cullen,4,Hex P15,Cargo: Magefruit,30%
1118,Hex Q6,March 1409 Week 1,Q6-P6-O7-N7-N8-M9-L9-K9-K10-J10-I11-I12-H12-G13,33,Scurvy Bottom,Galleon,Baron Karl von Reinhardt,11,Hex G13,Cargo: Scrolls,Destroyed
1119,Hex I3,March 1409 Week 1,I3-I2-I1-J0-I1-J2-I3,158,Saucy Swan,Dhow,Erin Flyn,5,Hex J0,Fishing,10%
1120,Hex P15,April 1409 Week 2,P15-O15-N15-N14-M14-L14-K13-J13-I13-H13-G13,97,Bloody Bottom,Barquentine,Neil MacDougal,16,Hex G13,Cargo: Darkwood,5%
1121,Hex P15,April 1409 Week 2,P15-Q14-Q13-Q12-Q11-Q10-P9-P8-P7-Q6,105,Bloody Duck,Galleon,Patrick Buchanan,22,Hex Q6,Cargo: Darkwood,50%
1122,Hex P15,April 1409 Week 2,P15-Q14-P13-Q12-Q11-R10-Q11-Q12-Q13-Q14-P15,107,Saucy Bottom,Galleon,Fergus Sweeney,5,Hex R10,Scouting,10%
1123,Hex P15,April 1409 Week 2,P15-Q15-R15-S16-R15-Q15-P15,20,Golden Hind,Dhow,Conor Hogan,4,Hex S16,Fishing,40%
1124,Hex G13,April 1409 Week 2,G13-H13-I14-J14-J15-K15-L15-M15-N15-O15-P15,168,Saucy Hind,Carrack,Rick O'Malley,4,Hex P15,Cargo: Redstone,30%
1125,Hex G13,April 1409 Week 2,G13-H13-I13-J13-K13-L13-M14-M15-N15-O15-P15,162,Golden Falcon,Galleon,Lord Wolfgang von Zelig,5,Hex P15,Cargo: Magefruit,64%
1126,Hex G13,April 1409 Week 2,G13-H12-G11-H10-G9-G8-G7-H6-H5-I4-I3,141,Orange Duck,Galleon,Jack Bracken,3,Hex I3,Cargo: Magefruit,54%
1127,Hex Q6,April 1409 Week 2,Q6-P5-O5-N5-M5-M4-L4-K3-J3-I3,166,Scurvy Goose,Dhow,Dyllon Flyn,5,Hex I3,Cargo: Magefruit,Destroyed
1128,Hex Q6,April 1409 Week 2,Q6-Q5-R4-R3-S2-R3-R4-Q5-Q6,60,Saucy Diamond,Barquentine,Conor Cullen,4,Hex S2,Fishing,25%
1129,Hex Q6,April 1409 Week 2,Q6-P5-P4-P3-Q4-P5-Q6,154,Green Goose,Dhow,Jack Malone,8,Hex P3,Fishing,15%
1130,Hex Q6,April 1409 Week 2,Q6-P7-Q8-P9-Q10-Q11-Q12-P13-Q14-P15,153,White Pearl,Barquentine,Sean Callahan,5,Hex P15,Cargo: Scrolls,60%
1131,Hex Q6,April 1409 Week 2,Q6-P7-O7-N7-M7-L7-L8-K8-J9-I9-I10-H11-H12-G13,101,Purple Pearl,Galleon,Count Wolfgang von Chlodwig,15,Hex G13,Transfer,7%
1132,Hex I3,April 1409 Week 2,I3-J3-K3-L4-L5-M6-N6-O6-P6-Q6,170,Green Diamond,Barquentine,Brandon MacArthur,10000,Hex Q6,Cargo: Darkwood,65%
1133,Hex I3,April 1409 Week 2,I3-I4-H5-H6-H5-I4-I3,146,Red Bottom,Dhow,Jack Teague,5,Hex H6,Fishing,Destroyed
1134,Hex I3,April 1409 Week 2,I3-I4-H5-I6-I7-I8-I7-I6-I5-I4-I3,171,Scurvy Pearl,Barquentine,Count Wolfgang von Schneider,9999,Hex I8,Scouting,80%
1135,Hex I3,April 1409 Week 2,I3-I4-I5-J6-J7-K8-K9-L10-L11-M12-M13-N13-O14-O15-P15,135,Mopey Hind,Galleon,Erin Flyn,5,Hex P15,Cargo: Mythril,54%
1136,Hex P15,April 1409 Week 3,P15-Q14-R14-R13-R14-Q14-P15,44,Scurvy Duck,Dhow,Kelly MacArthur,16,Hex R13,Fishing,40%
1137,Hex P15,April 1409 Week 3,P15-O15-N15-N14-M13-M12-L11-L10-K9-K8-J7-J6-I5-I4-I3,58,Green Duck,Galleon,Bryan Buchanan,6,Hex I3,Cargo: Blackwine,74%
1138,Hex P15,April 1409 Week 3,P15-O15-O14-N14-M14-L14-K13-J13-I13-H13-G13,128,Orange Tortoise,Barquentine,Dyllon Keating,6,Hex G13,Cargo: Darkwood,40%
1139,Hex P15,April 1409 Week 3,P15-O15-N15-M15-L15-K15-J15-I15-I14-H13-G13,41,Rusty Diamond,Galleon,Angus Keating,6,Hex G13,Transfer,70%
1140,Hex G13,April 1409 Week 3,G13-H13-I13-J13-K14-K15-L15-M15-N15-O15-P15,78,Orange Swan,Galleon,Count Friedrich von Zelig,4,Hex P15,Cargo: Magefruit,74%
1141,Hex G13,April 1409 Week 3,G13-G12-F11-G10-G9-G10-F11-G12-G13,173,Saucy Tortoise,Barquentine,Rick Malone,9999,Hex G9,Fishing,65%
1142,Hex G13,April 1409 Week 3,G13-H13-I13-J14-K14-L14-L15-M15-N15-O15-P15,6,Black Diamond,Galleon,Baron Friedrich von Zelig,3,Hex P15,Cargo: Magefruit,17%
1143,Hex Q6,April 1409 Week 3,Q6-P7-O7-N7-M7-N7-O7-P7-Q6,160,Silver Heart,Carrack,Liam Keating,9,Hex M7,Scouting,80%
1144,Hex Q6,April 1409 Week 3,Q6-Q7-Q8-P9-Q8-Q7-Q6,118,Bloody Tortoise,Dhow,Fergus Aubrey,5,Hex P9,Fishing,0%
1145,Hex Q6,April 1409 Week 3,Q6-P6-O6-N6-M6-L5-K5-J5-J4-I3,165,Rusty Duck,Carrack,Bryan Reagan,10009,Hex I3,Cargo: Scrolls,47%
1146,Hex Q6,April 1409 Week 3,Q6-Q7-Q8-Q9-R10-R11-R12-Q13-Q14-P15,54,Red Heart,Barquentine,Conor Hogan,14,Hex P15,Cargo: Magefruit,85%
1147,Hex Q6,April 1409 Week 3,Q6-P6-O6-N7-M7-L7-L8-K9-K10-J10-I11-H11-H12-G13,134,Saucy Duck,Galleon,Rick Aubrey,24,Hex G13,Transfer,24%
1148,Hex I3,April 1409 Week 3,I3-J4-K4-L4-L5-M6-N6-O6-P6-Q6,91,Mopey Falcon,Carrack,Sir Konrad von Schonbern,4,Hex Q6,Cargo: Darkwood,57%
1149,Hex I3,April 1409 Week 3,I3-J4-K4-L4-L5-M6-M7-N8-N9-O10-O11-P12-P13-Q14-P15,125,Red Hind,Carrack,Conall O'Malley,4,Hex P15,Cargo: Mythril,Destroyed
1150,Hex P15,April 1409 Week 4,P15-O15-O14-N13-O14-O15-P15,65,Black Pearl,Dhow,Sean O'Neal,9,Hex N13,Fishing,0%
1151,Hex P15,April 1409 Week 4,P15-P16-O16-N16-M16-N16-O16-P16-P15,148,Green Heart,Carrack,Lord Gottfried von Walderdorf,23,Hex M16,Fishing,10%
1152,Hex G13,April 1409 Week 4,G13-F13-E13-D13-C13-C14-C13-D13-E13-F13-G13,175,Gray Bottom,Carrack,Killian Malone,9999,Hex C14,Scouting,27%
1153,Hex Q6,April 1409 Week 4,Q6-Q5-R5-S5-R5-Q5-Q6,16,Gray Falcon,Dhow,Liam Teague,4,Hex S5,Fishing,25%
1154,Hex Q6,April 1409 Week 4,Q6-P5-O5-N5-N4-M4-L4-K4-J4-I3,164,Purple Heart,Barquentine,Fergus Reagan,8,Hex I3,Cargo: Magefruit,30%
1155,Hex I3,April 1409 Week 4,I3-I4-I5-J6-J7-J6-J5-J4-I3,169,Bloody Heart,Galleon,Brandon MacDougal,7,Hex J7,Fishing,40%
1156,Hex P15,April 1409 Week 1,P15-Q14-Q13-Q12-P11-P10-P11-P12-P13-Q14-P15,136,Black Swan,Galleon,Baron Manfred von Grolman,7,Hex P10,Scouting,20%
1157,Hex P15,April 1409 Week 1,P15-O15-N15-N14-M13-M12-L11-L10-K9-L8-K7-K6-J5-J4-I3,174,Bloody Goose,Barquentine,Count Karl von Schonbern,10001,Hex I3,Cargo: Blackwine,20%
1158,Hex P15,April 1409 Week 1,P15-Q15-R14-R13-S12-S11-S12-R12-Q13-Q14-P15,130,Saucy Heart,Carrack,Rick Blake,5,Hex S11,Fishing,94%
1159,Hex G13,April 1409 Week 1,G13-G12-F11-G10-G9-H8-H7-H6-H5-I4-I3,93,Gray Tortoise,Carrack,Neil Reagan,5,Hex I3,Cargo: Redstone,7%
1160,Hex G13,April 1409 Week 1,G13-G12-F12-E11-E10-D9-E9-F10-F11-G12-G13,52,Mopey Pearl,Carrack,Angus O'Neal,5,Hex D9,Scouting,20%
1161,Hex G13,April 1409 Week 1,G13-G12-G11-H10-G9-G10-G11-H12-G13,115,Rusty Goose,Dhow,Lord Friedrich von Alfeldt,9,Hex G9,Scouting,80%
1163,Hex Q6,April 1409 Week 1,Q6-P5-P4-O4-N4-N5-O5-P5-Q6,159,Mopey Swan,Dhow,Brandon Aubrey,5,Hex N4,Fishing,30%
1164,Hex Q6,April 1409 Week 1,Q6-P5-O5-N5-M5-N6-O6-P6-Q6,112,Black Duck,Dhow,Lord Manfred von Lundorf,8,Hex M5,Fishing,Destroyed
1165,Hex Q6,April 1409 Week 1,Q6-P6-O6-N6-M6-L6-K7-K8-J9-I9-I10-H11-H12-G13,92,Bloody Swan,Galleon,Lord Otto von Zelig,5,Hex G13,Cargo: Scrolls,27%
1166,Hex Q6,April 1409 Week 1,Q6-P7-Q8-Q9-Q10-Q11-Q12-Q13-Q14-P15,124,Red Tortoise,Barquentine,Angus O'Malley,15,Hex P15,Cargo: Magefruit,5%
1167,Hex I3,April 1409 Week 1,I3-I2-H2-G1-H1-I2-I3,158,Saucy Swan,Dhow,Erin Flyn,4,Hex G1,Fishing,40%
1168,Hex P15,May 1409 Week 2,P15-O15-O14-N13-N12-M11-N12-N13-O14-O15-P15,32,Mopey Bottom,Carrack,Brandon O'Connell,15,Hex M11,Fishing,20%
1169,Hex P15,May 1409 Week 2,P15-Q14-P13-P12-P13-Q14-P15,150,Scurvy Hind,Dhow,Kelly Keating,11,Hex P12,Fishing,0%
1170,Hex P15,May 1409 Week 2,P15-O15-O14-N14-M14-L14-L15-M15-N15-O15-P15,59,Orange Bottom,Barquentine,Conor Darry,31,Hex L14,Fishing,0%
1171,Hex G13,May 1409 Week 2,G13-F13-E13-D13-C13-C14-C13-D13-E13-F13-G13,101,Purple Pearl,Galleon,Count Wolfgang von Chlodwig,4,Hex C14,Fishing,40%
